Algorithm,Model,Dataset,NoAttack_TPR,NoAttack_F1,word_deletion_TPR,word_deletion_F1,synonym_TPR,synonym_F1,paraphrase_TPR,paraphrase_F1
EXP,1.3B,c4,0.98,0.9423076923076924,0.85,0.8717948717948718,0.96,0.9320388349514563,0.31,0.43971631205673756
EXP,1.3B,wmt16,0.99,0.9473684210526316,0.97,0.9371980676328503,0.98,0.9423076923076924,0.37,0.5034013605442177
EXP,2.7B,c4,0.99,0.9473684210526316,0.79,0.8359788359788359,0.93,0.916256157635468,0.23,0.3458646616541353
EXP,2.7B,wmt16,1.0,0.9523809523809523,0.97,0.9371980676328503,0.99,0.9473684210526316,0.36,0.4931506849315068
KGW,1.3B,c4,0.99,0.9519230769230769,0.96,0.9365853658536586,0.95,0.9313725490196078,0.28,0.40875912408759124
KGW,1.3B,wmt16,0.96,0.9320388349514563,0.93,0.916256157635468,0.96,0.9320388349514563,0.25,0.37037037037037035
KGW,2.7B,c4,0.99,0.9519230769230769,0.82,0.8586387434554974,0.89,0.8989898989898989,0.15,0.24193548387096772
KGW,2.7B,wmt16,1.0,0.9523809523809523,0.96,0.9320388349514563,0.99,0.9473684210526316,0.48,0.6075949367088608
Unigram,1.3B,c4,1.0,0.9523809523809523,1.0,0.9523809523809523,0.99,0.9473684210526316,0.83,0.8601036269430051
Unigram,1.3B,wmt16,1.0,0.9523809523809523,0.98,0.9423076923076924,0.99,0.9473684210526316,0.42,0.5526315789473685
Unigram,2.7B,c4,1.0,0.9523809523809523,0.99,0.9473684210526316,0.98,0.9423076923076924,0.92,0.9108910891089109
Unigram,2.7B,wmt16,1.0,0.9523809523809523,0.94,0.9215686274509804,0.96,0.9320388349514563,0.39,0.5234899328859061
